id,entityKind,type,entityValue,sourceID,tag
1508793698298425,key,uid,ebay - #321491846482,ebay - #321491846482,NULL
1508793698299084,key,uid,ebay - #321523583504,ebay - #321523583504,NULL
1508793698299293,key,uid,ebay - #321527731877,ebay - #321527731877,NULL
1508793698293327,key,uid,ebay - #321336583678,ebay - #321336583678,NULL
1508793698292810,key,uid,ebay - #321331257401,ebay - #321331257401,NULL
1508793698292748,key,uid,ebay - #321329307023,ebay - #321329307023,NULL
1508793698292741,key,uid,ebay - #321329252415,ebay - #321329252415,NULL
1508793698292729,key,uid,ebay - #321329172941,ebay - #321329172941,NULL
1508793698292720,key,uid,ebay - #321329115061,ebay - #321329115061,NULL
1508793698292707,key,uid,ebay - #321328523172,ebay - #321328523172,NULL
1508793698292694,key,uid,ebay - #321328167792,ebay - #321328167792,NULL
1508793698292664,key,uid,ebay - #321327674785,ebay - #321327674785,NULL
1508793698292659,key,uid,ebay - #321327671594,ebay - #321327671594,NULL
1508793698292648,key,uid,ebay - #321327438021,ebay - #321327438021,NULL
1508793698292642,key,uid,ebay - #321327434705,ebay - #321327434705,NULL
1508793698292625,key,uid,ebay - #321326749614,ebay - #321326749614,NULL
1508793698292612,key,uid,ebay - #321326574215,ebay - #321326574215,NULL
1508793698292608,key,uid,ebay - #321326488164,ebay - #321326488164,NULL
1508793698292605,key,uid,ebay - #321326150676,ebay - #321326150676,NULL
1508793698292592,key,uid,ebay - #321326072243,ebay - #321326072243,NULL
1508793698292586,key,uid,ebay - #321325934668,ebay - #321325934668,NULL
1508793698292582,key,uid,ebay - #321325881640,ebay - #321325881640,NULL
1508793698292577,key,uid,ebay - #321325817181,ebay - #321325817181,NULL
1508793698292575,key,uid,ebay - #321325391552,ebay - #321325391552,NULL
1508793698292569,key,uid,ebay - #321325346946,ebay - #321325346946,NULL
1508793698292562,key,uid,ebay - #321324842284,ebay - #321324842284,NULL
1508793698292559,key,uid,ebay - #321324742364,ebay - #321324742364,NULL
1508793698292554,key,uid,ebay - #321324738134,ebay - #321324738134,NULL
1508793698292552,key,uid,ebay - #321324605684,ebay - #321324605684,NULL
1508793698292548,key,uid,ebay - #321324582085,ebay - #321324582085,NULL
1508793698292518,key,uid,ebay - #321324018701,ebay - #321324018701,NULL
1508793698292514,key,uid,ebay - #321323946495,ebay - #321323946495,NULL
1508793698292510,key,uid,ebay - #321323941921,ebay - #321323941921,NULL
1508793698292506,key,uid,ebay - #321323854252,ebay - #321323854252,NULL
1508793698292500,key,uid,ebay - #321323796529,ebay - #321323796529,NULL
1508793698292497,key,uid,ebay - #321323781484,ebay - #321323781484,NULL
1508793698292494,key,uid,ebay - #321323757251,ebay - #321323757251,NULL
1508793698292490,key,uid,ebay - #321323736096,ebay - #321323736096,NULL
1508793698292486,key,uid,ebay - #321323426802,ebay - #321323426802,NULL
1508793698292479,key,uid,ebay - #321323391200,ebay - #321323391200,NULL
1508793698292475,key,uid,ebay - #321323345781,ebay - #321323345781,NULL
1508793698292472,key,uid,ebay - #321323308440,ebay - #321323308440,NULL
1508793698292465,key,uid,ebay - #321323308421,ebay - #321323308421,NULL
1508793698292457,key,uid,ebay - #321323254632,ebay - #321323254632,NULL
1508793698292446,key,uid,ebay - #321323233392,ebay - #321323233392,NULL
