sourceID,sourceVertexID,sourceEntityValue,targetVertexID,targetEntityValue
ebay - #261808169851,15089678321589,ebay - #261808169851,15089678321344,629922860
ebay - #251582393377,15089678321368,ebay - #251582393377,15089678321344,629922860
ebay - #251874988510,15089678321455,ebay - #251874988510,15089678321344,629922860
ebay - #263187886288,15089678322830,ebay - #263187886288,15089678321344,629922860
ebay - #251873814276,15089678321419,ebay - #251873814276,15089678321344,629922860
ebay - #251882843741,15089678321521,ebay - #251882843741,15089678321344,629922860
ebay - #261809385800,15089678321615,ebay - #261809385800,15089678321344,629922860
ebay - #251874974425,15089678321448,ebay - #251874974425,15089678321344,629922860
ebay - #251873844022,15089678321434,ebay - #251873844022,15089678321344,629922860
ebay - #261808169851,15089678321589,ebay - #261808169851,15089678321343,onlinexsl@gmail.com
ebay - #251582393377,15089678321368,ebay - #251582393377,15089678321343,onlinexsl@gmail.com
ebay - #251874988510,15089678321455,ebay - #251874988510,15089678321343,onlinexsl@gmail.com
ebay - #263187886288,15089678322830,ebay - #263187886288,15089678321343,onlinexsl@gmail.com
ebay - #251873814276,15089678321419,ebay - #251873814276,15089678321343,onlinexsl@gmail.com
ebay - #251882843741,15089678321521,ebay - #251882843741,15089678321343,onlinexsl@gmail.com
ebay - #261809385800,15089678321615,ebay - #261809385800,15089678321343,onlinexsl@gmail.com
ebay - #251874974425,15089678321448,ebay - #251874974425,15089678321343,onlinexsl@gmail.com
ebay - #251873844022,15089678321434,ebay - #251873844022,15089678321343,onlinexsl@gmail.com
ebay - #261808177256,15089678321600,ebay - #261808177256,15089678321343,onlinexsl@gmail.com
ebay - #251873791911,15089678321403,ebay - #251873791911,15089678321343,onlinexsl@gmail.com
ebay - #251874973911,15089678321442,ebay - #251874973911,15089678321343,onlinexsl@gmail.com
ebay - #251882834174,15089678321499,ebay - #251882834174,15089678321343,onlinexsl@gmail.com
ebay - #251876433051,15089678321486,ebay - #251876433051,15089678321343,onlinexsl@gmail.com
ebay - #251876422300,15089678321473,ebay - #251876422300,15089678321343,onlinexsl@gmail.com
ebay - #251882848902,15089678321536,ebay - #251882848902,15089678321343,onlinexsl@gmail.com
ebay - #251882848952,15089678321539,ebay - #251882848952,15089678321343,onlinexsl@gmail.com
ebay - #261814993489,15089678321630,ebay - #261814993489,15089678321343,onlinexsl@gmail.com
ebay - #261808177256,15089678321600,ebay - #261808177256,15089678321344,629922860
ebay - #251873791911,15089678321403,ebay - #251873791911,15089678321344,629922860
ebay - #251874973911,15089678321442,ebay - #251874973911,15089678321344,629922860
ebay - #251882834174,15089678321499,ebay - #251882834174,15089678321344,629922860
ebay - #251876433051,15089678321486,ebay - #251876433051,15089678321344,629922860
ebay - #251876422300,15089678321473,ebay - #251876422300,15089678321344,629922860
ebay - #251882848902,15089678321536,ebay - #251882848902,15089678321344,629922860
ebay - #251882848952,15089678321539,ebay - #251882848952,15089678321344,629922860
ebay - #261814993489,15089678321630,ebay - #261814993489,15089678321344,629922860
ebay - #261809380815,15089678321610,ebay - #261809380815,15089678321343,onlinexsl@gmail.com
ebay - #263187903600,15089678322837,ebay - #263187903600,15089678321343,onlinexsl@gmail.com
